area_code,area_name,indicator,period,measure,unit,value
E08000001,Bolton,Domestic Renewable Heat Incentive,2014-04 to 2019-09,Count,Accredited applications,35
E08000002,Bury,Domestic Renewable Heat Incentive,2014-04 to 2019-09,Count,Accredited applications,51
E08000003,Manchester,Domestic Renewable Heat Incentive,2014-04 to 2019-09,Count,Accredited applications,193
E08000004,Oldham,Domestic Renewable Heat Incentive,2014-04 to 2019-09,Count,Accredited applications,35
E08000005,Rochdale,Domestic Renewable Heat Incentive,2014-04 to 2019-09,Count,Accredited applications,54
E08000006,Salford,Domestic Renewable Heat Incentive,2014-04 to 2019-09,Count,Accredited applications,9
E08000007,Stockport,Domestic Renewable Heat Incentive,2014-04 to 2019-09,Count,Accredited applications,57
E08000008,Tameside,Domestic Renewable Heat Incentive,2014-04 to 2019-09,Count,Accredited applications,35
E08000009,Trafford,Domestic Renewable Heat Incentive,2014-04 to 2019-09,Count,Accredited applications,28
E08000010,Wigan,Domestic Renewable Heat Incentive,2014-04 to 2019-09,Count,Accredited applications,332
