area_name,indicator,date,measure,unit,value,group
Trafford,Google community mobility trends,2020-03-03,Percentage change from baseline,Visits and length of stay,0.05,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-03-03,Percentage change from baseline,Visits and length of stay,-0.07,Parks*
Trafford,Google community mobility trends,2020-03-04,Percentage change from baseline,Visits and length of stay,-0.06,Retail & recreation
Trafford,Google community mobility trends,2020-03-04,Percentage change from baseline,Visits and length of stay,0.09,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-03-04,Percentage change from baseline,Visits and length of stay,-0.07,Parks*
Trafford,Google community mobility trends,2020-03-05,Percentage change from baseline,Visits and length of stay,0,Retail & recreation
Trafford,Google community mobility trends,2020-03-05,Percentage change from baseline,Visits and length of stay,0.07,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-03-05,Percentage change from baseline,Visits and length of stay,0.11,Parks*
Trafford,Google community mobility trends,2020-03-06,Percentage change from baseline,Visits and length of stay,-0.02,Retail & recreation
Trafford,Google community mobility trends,2020-03-06,Percentage change from baseline,Visits and length of stay,0.05,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-03-06,Percentage change from baseline,Visits and length of stay,0.18,Parks*
Trafford,Google community mobility trends,2020-03-07,Percentage change from baseline,Visits and length of stay,-0.06,Retail & recreation
Trafford,Google community mobility trends,2020-03-07,Percentage change from baseline,Visits and length of stay,0.05,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-03-07,Percentage change from baseline,Visits and length of stay,-0.06,Parks*
Trafford,Google community mobility trends,2020-03-08,Percentage change from baseline,Visits and length of stay,0.31,Retail & recreation
Trafford,Google community mobility trends,2020-03-08,Percentage change from baseline,Visits and length of stay,0.05,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-03-08,Percentage change from baseline,Visits and length of stay,0.16,Parks*
Trafford,Google community mobility trends,2020-03-09,Percentage change from baseline,Visits and length of stay,-0.05,Retail & recreation
Trafford,Google community mobility trends,2020-03-09,Percentage change from baseline,Visits and length of stay,0.03,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-03-09,Percentage change from baseline,Visits and length of stay,-0.12,Parks*
Trafford,Google community mobility trends,2020-03-10,Percentage change from baseline,Visits and length of stay,-0.02,Retail & recreation
Trafford,Google community mobility trends,2020-03-10,Percentage change from baseline,Visits and length of stay,0.08,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-03-10,Percentage change from baseline,Visits and length of stay,-0.01,Parks*
Trafford,Google community mobility trends,2020-03-11,Percentage change from baseline,Visits and length of stay,-0.1,Retail & recreation
Trafford,Google community mobility trends,2020-03-11,Percentage change from baseline,Visits and length of stay,0.07,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-03-11,Percentage change from baseline,Visits and length of stay,-0.16,Parks*
Trafford,Google community mobility trends,2020-03-12,Percentage change from baseline,Visits and length of stay,-0.03,Retail & recreation
Trafford,Google community mobility trends,2020-03-12,Percentage change from baseline,Visits and length of stay,0.13,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-03-12,Percentage change from baseline,Visits and length of stay,-0.06,Parks*
Trafford,Google community mobility trends,2020-03-13,Percentage change from baseline,Visits and length of stay,-0.08,Retail & recreation
Trafford,Google community mobility trends,2020-03-13,Percentage change from baseline,Visits and length of stay,0.14,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-03-13,Percentage change from baseline,Visits and length of stay,0.02,Parks*
Trafford,Google community mobility trends,2020-03-14,Percentage change from baseline,Visits and length of stay,-0.16,Retail & recreation
Trafford,Google community mobility trends,2020-03-14,Percentage change from baseline,Visits and length of stay,0.13,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-03-14,Percentage change from baseline,Visits and length of stay,-0.21,Parks*
Trafford,Google community mobility trends,2020-03-15,Percentage change from baseline,Visits and length of stay,-0.17,Retail & recreation
Trafford,Google community mobility trends,2020-03-15,Percentage change from baseline,Visits and length of stay,0.1,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-03-15,Percentage change from baseline,Visits and length of stay,-0.17,Parks*
Trafford,Google community mobility trends,2020-03-16,Percentage change from baseline,Visits and length of stay,-0.08,Retail & recreation
Trafford,Google community mobility trends,2020-03-16,Percentage change from baseline,Visits and length of stay,0.26,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-03-16,Percentage change from baseline,Visits and length of stay,0.05,Parks*
Trafford,Google community mobility trends,2020-03-17,Percentage change from baseline,Visits and length of stay,-0.17,Retail & recreation
Trafford,Google community mobility trends,2020-03-17,Percentage change from baseline,Visits and length of stay,0.3,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-03-17,Percentage change from baseline,Visits and length of stay,-0.15,Parks*
Trafford,Google community mobility trends,2020-03-18,Percentage change from baseline,Visits and length of stay,-0.27,Retail & recreation
Trafford,Google community mobility trends,2020-03-18,Percentage change from baseline,Visits and length of stay,0.31,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-03-18,Percentage change from baseline,Visits and length of stay,-0.45,Parks*
