area_code,area_name,indicator,meausre,value,period
E92000001,England,internal out ,Per 1000 year to mid-Year,2.19,2016
E92000001,England,internal net ,Count year to mid-Year,-11054,2016
E92000001,England,internal net ,Per 1000 year to mid-Year,-0.2,2016
E92000001,England,international in ,Count year to mid-Year,760454,2016
E92000001,England,international in ,Per 1000 year to mid-Year,13.75,2016
E92000001,England,international out ,Count year to mid-Year,459696,2016
E92000001,England,international out ,Per 1000 year to mid-Year,8.31,2016
E92000001,England,international net ,Count year to mid-Year,300758,2016
E92000001,England,international net ,Per 1000 year to mid-Year,5.44,2016
E92000001,England,special change ,Count year to mid-Year,5993,2016
E92000001,England,special change ,Per 1000 year to mid-Year,0.11,2016
E92000001,England,unattrib ,Count year to mid-Year,3558,2016
E92000001,England,unattrib ,Per 1000 year to mid-Year,0.06,2016
E92000001,England,other adjust ,Count year to mid-Year,0,2016
E92000001,England,other adjust ,Per 1000 year to mid-Year,0,2016
E92000001,England,natchange ,Count year to mid-Year,181103,2016
E92000001,England,natchange ,Per 1000 year to mid-Year,3.28,2016
E92000001,England,population ,Count year to mid-Year,55619548,2017
E92000001,England,population ,Per 1000 year to mid-Year,1000,2017
E92000001,England,births ,Count year to mid-Year,652830,2017
E92000001,England,births ,Per 1000 year to mid-Year,11.74,2017
E92000001,England,deaths ,Count year to mid-Year,499814,2017
E92000001,England,deaths ,Per 1000 year to mid-Year,8.99,2017
E92000001,England,internal in ,Count year to mid-Year,106100,2017
E92000001,England,internal in ,Per 1000 year to mid-Year,1.91,2017
E92000001,England,internal out ,Count year to mid-Year,122923,2017
E92000001,England,internal out ,Per 1000 year to mid-Year,2.21,2017
E92000001,England,internal net ,Count year to mid-Year,-16823,2017
E92000001,England,internal net ,Per 1000 year to mid-Year,-0.3,2017
E92000001,England,international in ,Count year to mid-Year,654299,2017
E92000001,England,international in ,Per 1000 year to mid-Year,11.76,2017
E92000001,England,international out ,Count year to mid-Year,467994,2017
E92000001,England,international out ,Per 1000 year to mid-Year,8.41,2017
E92000001,England,international net ,Count year to mid-Year,186305,2017
E92000001,England,international net ,Per 1000 year to mid-Year,3.35,2017
E92000001,England,special change ,Count year to mid-Year,4072,2017
E92000001,England,special change ,Per 1000 year to mid-Year,0.07,2017
E92000001,England,unattrib ,Count year to mid-Year,3944,2017
E92000001,England,unattrib ,Per 1000 year to mid-Year,0.07,2017
E92000001,England,other adjust ,Count year to mid-Year,0,2017
E92000001,England,other adjust ,Per 1000 year to mid-Year,0,2017
E92000001,England,natchange ,Count year to mid-Year,153016,2017
E92000001,England,natchange ,Per 1000 year to mid-Year,2.75,2017
E92000001,England,population ,Count year to mid-Year,55924528,2018
E92000001,England,population ,Per 1000 year to mid-Year,1000,2018
E92000001,England,births ,Count year to mid-Year,636776,2018
E92000001,England,births ,Per 1000 year to mid-Year,11.39,2018
E92000001,England,deaths ,Count year to mid-Year,515507,2018
E92000001,England,deaths ,Per 1000 year to mid-Year,9.22,2018
E92000001,England,internal in ,Count year to mid-Year,105844,2018
E92000001,England,internal in ,Per 1000 year to mid-Year,1.89,2018
E92000001,England,internal out ,Count year to mid-Year,122948,2018
E92000001,England,internal out ,Per 1000 year to mid-Year,2.2,2018
E92000001,England,internal net ,Count year to mid-Year,-17104,2018
E92000001,England,internal net ,Per 1000 year to mid-Year,-0.31,2018
E92000001,England,international in ,Count year to mid-Year,689270,2018
E92000001,England,international in ,Per 1000 year to mid-Year,12.33,2018
E92000001,England,international out ,Count year to mid-Year,485361,2018
E92000001,England,international out ,Per 1000 year to mid-Year,8.68,2018
E92000001,England,international net ,Count year to mid-Year,203909,2018
E92000001,England,international net ,Per 1000 year to mid-Year,3.65,2018
E92000001,England,special change ,Count year to mid-Year,-1781,2018
E92000001,England,special change ,Per 1000 year to mid-Year,-0.03,2018
E92000001,England,unattrib ,Count year to mid-Year,-1313,2018
E92000001,England,unattrib ,Per 1000 year to mid-Year,-0.02,2018
E92000001,England,other adjust ,Count year to mid-Year,0,2018
E92000001,England,other adjust ,Per 1000 year to mid-Year,0,2018
E92000001,England,natchange ,Count year to mid-Year,121269,2018
E92000001,England,natchange ,Per 1000 year to mid-Year,2.17,2018
E92000001,England,population ,Count year to mid-Year,56230056,2019
E92000001,England,population ,Per 1000 year to mid-Year,1000,2019
E92000001,England,births ,Count year to mid-Year,617939,2019
E92000001,England,births ,Per 1000 year to mid-Year,10.99,2019
E92000001,England,deaths ,Count year to mid-Year,487688,2019
E92000001,England,deaths ,Per 1000 year to mid-Year,8.67,2019
E92000001,England,internal in ,Count year to mid-Year,105943,2019
E92000001,England,internal in ,Per 1000 year to mid-Year,1.88,2019
E92000001,England,internal out ,Count year to mid-Year,124462,2019
E92000001,England,internal out ,Per 1000 year to mid-Year,2.21,2019
E92000001,England,internal net ,Count year to mid-Year,-18519,2019
E92000001,England,internal net ,Per 1000 year to mid-Year,-0.33,2019
E92000001,England,international in ,Count year to mid-Year,739019,2019
E92000001,England,international in ,Per 1000 year to mid-Year,13.14,2019
E92000001,England,international out ,Count year to mid-Year,537687,2019
E92000001,England,international out ,Per 1000 year to mid-Year,9.56,2019
E92000001,England,international net ,Count year to mid-Year,201332,2019
E92000001,England,international net ,Per 1000 year to mid-Year,3.58,2019
E92000001,England,special change ,Count year to mid-Year,1639,2019
E92000001,England,special change ,Per 1000 year to mid-Year,0.03,2019
E92000001,England,unattrib ,Count year to mid-Year,-9175,2019
E92000001,England,unattrib ,Per 1000 year to mid-Year,-0.16,2019
E92000001,England,other adjust ,Count year to mid-Year,0,2019
E92000001,England,other adjust ,Per 1000 year to mid-Year,0,2019
E92000001,England,natchange ,Count year to mid-Year,130251,2019
E92000001,England,natchange ,Per 1000 year to mid-Year,2.32,2019
